id;keyword;title;directions;ingredients;course_meal_type;cuisine_origin;Prep Time;cook time;Total Time;equipments;Protein;Fat;Carbohydrates_g;fiber_g;sugar_g;sodium_mg
12;pancakes;African-asian spiced savory pancakes;In a large bowl, whisk together flour and salt. Add eggs, coconut milk, and soy sauce to the dry ingredients and whisk until smooth. Stir in cumin, ginger, chili, spring onions, and coriander. Let the batter rest for 10 minutes. Heat a non-stick skillet over medium heat and lightly oil it. Pour a ladle of batter into the skillet and swirl to spread evenly. Cook for 2 to 3 minutes until bubbles form and the bottom is golden. Flip and cook the other side for 1 to 2 minutes until cooked through. Repeat with remaining batter, adding oil as needed. Serve warm with a dipping sauce or yogurt.;flour, salt, eggs, coconut milk, soy sauce, cumin, ginger, chili, spring onions, coriander, oil;Breakfast|Main Course|Side Dish;African-Asian;10;10;20;Skillet;6;10;30;2;1;300
13;banana bread;Spiced banana bread with ginger and coconut;Preheat oven to 175∞C (350∞F) and grease a loaf pan. In a large bowl, whisk mashed bananas, sugar, eggs, oil, and vanilla until smooth. In a separate bowl, mix flour, baking soda, salt, ginger, and cardamom. Add dry ingredients to banana mixture and stir until just combined. Fold in coconut and chopped peanuts gently. Pour batter into prepared loaf pan and smooth the top. Sprinkle sesame seeds evenly over the batter. Bake for 50 to 60 minutes or until a toothpick comes out clean. Cool in pan for 10 minutes, then transfer to a wire rack. Slice and serve warm or at room temperature.;bananas, sugar, eggs, oil, vanilla, flour, baking soda, salt, ginger, cardamom, coconut, peanuts, sesame seeds;Breakfast|Dessert|Snack;International;15;60;75;Oven;4;10;40;2;20;200
14;crepes;Spiced chickpea crepes with peanut sauce;In a bowl, whisk chickpea flour, water, egg, cumin, turmeric, and salt until smooth. Stir in chopped cilantro and let batter rest for 10 minutes. Heat a non-stick pan over medium heat and lightly oil it. Pour a ladle of batter into the pan, swirling to coat evenly. Cook for 2 minutes until edges lift, then flip and cook another minute. Repeat with remaining batter to make 4 crepes. Mix mashed sweet potato, onion, green chili, and crushed peanuts in a bowl. In a small saucepan, warm coconut milk and peanut butter until smooth. Fill each crepe with sweet potato mixture and fold. Drizzle with warm peanut sauce before serving.;chickpea flour, water, egg, cumin, turmeric, salt, cilantro, sweet potato, onion, green chili, crushed peanuts, coconut milk, peanut butter, peanut sauce;Main Course;International;10;10;20;Pan;10;15;45;8;5;300
15;apple pie;African-asian spiced apple pie twist;Preheat oven to 180∞C (350∞F) and grease a 23 cm (9-inch) pie dish. Peel, core, and slice the apples thinly. In a bowl, mix apples with sugar, cinnamon, ginger, cardamom, and lemon juice. Heat butter in a pan and Grill the apple mixture for 5 minutes until slightly softened. Roll out one pastry sheet and press into the pie dish. Fill the crust with the apple mixture and sprinkle with chopped dates. Roll out the second pastry sheet and place over the filling, sealing the edges. Cut small slits in the top crust for steam to escape. Brush the crust with beaten egg and sprinkle with sesame seeds. Bake for 35 to 40 minutes or until golden brown and bubbling.;apples, sugar, cinnamon, ginger, cardamom, lemon juice, butter, pastry sheet, dates, egg, sesame seeds;Dessert;African-Asian;20;40;60;Oven|Pan;4;15;50;3;25;100
16;bruschetta;Spicy african-asian fusion bruschetta;Preheat oven to 200∞C (400∞F). Brush baguette slices with olive oil and toast for 8 to 10 minutes until golden. Rub toasted bread with cut side of garlic clove and set aside. In a bowl, mix cherry tomatoes, onion, coriander, basil, chili, and ginger. Add soy sauce and lime juice to the tomato mixture and stir well. Spoon the mixture evenly onto the toasted bread slices. Top each bruschetta with a sprinkle of crumbled feta cheese. Arrange on a serving platter and serve immediately.;olive oil, baguette, garlic clove, cherry tomatoes, onion, coriander, basil, chili, ginger, soy sauce, lime juice, feta cheese;Snack|Appetizer;African|Asian;15;10;25;Oven;7;10;30;2;3;400
17;carbonara;African-asian fusion chicken carbonara;Cook spaghetti in salted boiling water until al dente, then drain and reserve 100  of pasta water. Heat vegetable oil in a large pan over medium heat. Add chicken slices and cook until lightly browned and cooked through. Stir in garlic, chili, and sausage, and Grill for 2 minutes. In a bowl, whisk eggs, coconut milk, Parmesan, soy sauce, and black pepper. Reduce heat to low and add cooked spaghetti to the pan. Quickly pour in the egg mixture, stirring constantly to create a creamy sauce. Add reserved pasta water as needed to loosen the sauce. Season with salt to taste and sprinkle with chopped coriander before serving.;spaghetti, vegetable oil, chicken, garlic, chili, sausage, eggs, coconut milk, Parmesan, soy sauce, black pepper, salt, coriander;Main Course;African, Italian;15;20;35;Pan;30;25;60;3;2;800
18;hummus;Spicy african-asian fusion hummus;Place chickpeas, tahini, and peanut butter in a food processor. Add sesame oil, garlic, chili, ginger, lemon juice, and soy sauce. Sprinkle in cumin, coriander, and a pinch of salt. Blend until smooth, adding water gradually to adjust consistency. Taste and adjust seasoning if needed. Transfer to a serving bowl and smooth the surface. Drizzle a little sesame oil on top for flavor. Garnish with fresh coriander leaves. Serve with flatbread, rice crackers, or vegetable sticks. Store leftovers in an airtight container in the fridge for up to 3 days.;chickpeas, tahini, peanut butter, sesame oil, garlic, chili, ginger, lemon juice, soy sauce, cumin, coriander, salt, water, fresh coriander leaves, flatbread, rice crackers, vegetable sticks;Snack;African-Asian;15;0;15;Food Processor;8;14;25;6;1;300
19;kaiserschmarrn;African-asian fusion kaiserschmarrn;Whisk egg yolks with coconut milk, both flours, sugar, cardamom, and salt until smooth. Fold in melted butter and chopped dried mango. In a separate bowl, beat egg whites until stiff peaks form. Gently fold egg whites into the batter until just combined. Heat butter in a non-stick skillet over medium heat. Pour in batter and cook until bottom is golden and top is nearly set. Flip in sections and tear into bite-sized pieces using two spatulas. Continue cooking until all pieces are golden and cooked through. Sprinkle with roasted sesame seeds and chopped peanuts. Dust with icing sugar and serve warm with honey or tamarind syrup.;egg yolks, coconut milk, flours, sugar, cardamom, salt, butter, dried mango, egg whites, sesame seeds, peanuts, icing sugar, honey, tamarind syrup;Dessert;African-Asian;15;20;35;Skillet|Mixer;8;20;50;2;15;200
20;pumpkin soup;Spiced pumpkin soup with coconut and ginger;Heat vegetable oil in a large pot over medium heat. Grill onion, garlic, ginger, and chili until fragrant and softened. Add coriander and cumin, stirring for 1 minute to release aromas. Add pumpkin cubes and cook for 5 minutes, stirring occasionally. Pour in vegetable broth and bring to a boil. Reduce heat and simmer for 15 to 20 minutes until pumpkin is tender. Stir in coconut milk and soy sauce, then simmer for 5 more minutes. Blend the soup until smooth using an immersion blender or in batches. Season with salt and pepper to taste. Serve hot, garnished with fresh cilantro.;vegetable oil, onion, garlic, ginger, chili, coriander, cumin, pumpkin, vegetable broth, coconut milk, soy sauce, salt, pepper, cilantro;Soup;International;10;30;40;Pot|Blender;4;10;40;5;5;800
21;red cabbage;Spicy red cabbage stir-fry with peanut sauce;Heat oil in a large wok over medium heat. Add onion, garlic, ginger, and chili and Grill until fragrant. Stir in sliced red cabbage and cook for 5 to 7 minutes until slightly softened. In a small bowl, whisk together soy sauce, rice vinegar, brown sugar, peanut butter, and water. Pour the sauce into the wok and stir well to coat the cabbage. Cook for another 3 to 5 minutes until cabbage is tender-crisp and sauce thickens. Remove from heat and sprinkle with chopped peanuts. Garnish with fresh coriander before serving. Serve hot with steamed rice or flatbread.;oil, onion, garlic, ginger, chili, red cabbage, soy sauce, rice vinegar, brown sugar, peanut butter, water, peanuts, coriander, rice, flatbread;Main Course;International;10;15;25;Wok;8;15;30;5;5;500
22;tiramisu;Matcha rooibos tiramisu with coconut cream;Whisk mascarpone, coconut cream, condensed milk, vanilla extract, and powdered sugar until smooth. Mix cooled rooibos tea with 1 tablespoon of matcha powder until fully dissolved. Dip each ladyfinger briefly into the rooibos-matcha mixture without soaking. Arrange half the soaked ladyfingers in a single layer in a square dish. Spread half of the coconut mascarpone mixture over the ladyfingers evenly. Repeat with remaining ladyfingers and spread the rest of the cream on top. Cover and refrigerate for at least 4 hours or overnight for best texture. Before serving, dust the top with remaining matcha powder and sprinkle with desiccated coconut. Slice and serve chilled.;mascarpone, coconut cream, condensed milk, vanilla extract, powdered sugar, rooibos tea, matcha powder, ladyfinger, desiccated coconut;Dessert;International;30;0;30;Mixer;5;20;40;2;25;50
23;cinnamon buns;Cinnamon buns with chai and coconut glaze;In a large bowl, mix flour, sugar, cinnamon, cardamom, ginger, salt, and yeast. Add warm coconut milk, melted butter, and egg to the dry ingredients and mix until a dough forms. Knead the dough on a floured surface for 8 minutes until smooth and elastic. Cover and let the dough rise in a warm place for 1 hour or until doubled in size. Roll the dough into a rectangle and spread softened butter over the surface. Sprinkle brown sugar evenly over the buttered dough. Roll up the dough tightly and slice into 8 equal pieces. Place slices in a greased baking dish and let rise for 30 minutes. Bake at 180∞C (350∞F) for 20 to 25 minutes until golden brown. Mix powdered sugar with brewed chai to make a glaze and drizzle over warm buns.;flour, sugar, cinnamon, cardamom, ginger, salt, yeast, coconut milk, butter, egg, brown sugar, powdered sugar, chai;Dessert;American;30;25;55;Oven;3;10;45;1;15;150
24;aperol spritz;Aperol spritz with hibiscus and ginger twist;Combine hibiscus petals, ginger, honey, and water in a small saucepan. Bring to a simmer and steep for 10 minutes off heat. Strain the syrup and let it cool completely. Fill four glasses with ice cubes. Pour 1 tablespoon of hibiscus-ginger syrup into each glass. Add 30  Aperol to each glass. Top with 60  prosecco and 30  soda water. Stir gently to mix. Garnish with orange slices and mint leaves. Serve immediately while chilled.;hibiscus petals, ginger, honey, water, ice cubes, Aperol, prosecco, soda water, orange slices, mint leaves;Drinks;Italian;10;0;10;Saucepan;0;0;37;0;30;0
25;broccoli;Spicy broccoli stir-fry with peanut sauce;Blanch broccoli in boiling water for 2 minutes, then drain and set aside. Heat vegetable oil in a wok or large skillet over medium-high heat. Add onion, garlic, and ginger, and stir-fry for 2 minutes until fragrant. Add bell pepper and broccoli and stir-fry for 3 to 4 minutes until tender-crisp. In a small bowl, whisk together soy sauce, peanut butter, chili paste, honey, and water. Pour sauce over vegetables and stir to coat evenly. Cook for another 2 minutes until sauce thickens slightly. Sprinkle with chopped peanuts and garnish with cilantro. Serve hot with steamed jasmine or basmati rice.;broccoli, vegetable oil, onion, garlic, ginger, bell pepper, soy sauce, peanut butter, chili paste, honey, water, peanuts, cilantro, jasmine rice, basmati rice;Main Course;Thai;10;10;20;Wok|Stove / Pan;10;15;45;5;10;600
26;brownie;Chili ginger brownies with african-asian twist;Preheat oven to 175∞C (350∞F) and line a baking pan with parchment paper. Melt chocolate and butter together in a heatproof bowl over simmering water. Remove from heat and stir in brown sugar until well combined. Beat in eggs one at a time, then add vanilla extract and rooibos tea. Sift in flour, baking powder, salt, chili powder, and fold gently. Stir in grated ginger and chopped roasted peanuts. Pour batter into prepared pan and smooth the top. Bake for 20 to 25 minutes or until a toothpick comes out with moist crumbs. Cool completely in the pan before slicing into squares. Serve warm or at room temperature.;chocolate, butter, brown sugar, eggs, vanilla extract, rooibos tea, flour, baking powder, salt, chili powder, ginger, roasted peanuts;Dessert;African-Asian;15;25;40;Oven;3;12;30;1;15;50
27;cookies;Spiced ginger sesame cookies;Preheat oven to 180∞C (350∞F) and line a baking tray with parchment paper. Cream together butter and brown sugar until light and fluffy. Beat in the egg, honey, and water until well combined. In a separate bowl, whisk flour, baking soda, salt, ginger, cinnamon, and cardamom. Gradually mix dry ingredients into the wet mixture to form a dough. Fold in sesame seeds evenly throughout the dough. Scoop tablespoon-sized portions and roll into balls. Place on tray and flatten slightly with your fingers. Bake for 10 to 12 minutes until golden brown at the edges. Cool on tray for 5 minutes, then transfer to a wire rack.;butter, brown sugar, egg, honey, water, flour, baking soda, salt, ginger, cinnamon, cardamom, sesame seeds;Dessert;International;15;12;27;Oven;2;7;20;0;8;50
28;meatballs;African asian fusion meatballs;In a large bowl, combine ground beef, egg, coriander, garlic, ginger, chili, soy sauce, suya spice, and breadcrumbs. Mix thoroughly until all ingredients are well incorporated. Form the mixture into small meatballs, about the size of a walnut. Heat vegetable oil in a large skillet over medium heat. Fry meatballs in batches until browned on all sides, about 6 to 8 minutes. Remove meatballs and set aside. In the same skillet, add sesame oil, tomato paste, and cook for 1 minute. Stir in coconut milk and fish sauce, then bring to a gentle simmer. Return meatballs to the skillet and simmer in the sauce for 10 minutes. Serve hot with steamed rice or flatbread.;ground beef, egg, coriander, garlic, ginger, chili, soy sauce, suya spice, breadcrumbs, vegetable oil, sesame oil, tomato paste, coconut milk, fish sauce, steamed rice, flatbread;Main Course;African;15;20;35;Skillet;30;25;20;2;3;800
29;healthy;Healthy african-asian chickpea stir-fry;Heat olive oil in a large skillet over medium heat. Grill red onion, garlic, and ginger until fragrant. Add bell pepper and green beans, and cook until slightly tender. Stir in chickpeas and cook for 3 minutes. In a small bowl, mix soy sauce, peanut butter, cumin, and lime juice. Pour sauce over the vegetables and chickpeas, stirring to coat evenly. Cook for another 5 minutes, stirring occasionally. Add chili flakes if using and adjust seasoning to taste. Remove from heat and sprinkle with chopped cilantro. Serve warm over cooked brown rice.;olive oil, red onion, garlic, ginger, bell pepper, green beans, chickpeas, soy sauce, peanut butter, cumin, lime juice, chili flakes, cilantro, brown rice;Main Course;African-Asian;10;15;25;Skillet;15;15;60;12;5;500
30;gnocchi;Spicy gnocchi with coconut peanut sauce;Cook the gnocchi in boiling salted water until they float, then drain. Heat oil in a pan over medium heat and Grill onion until soft. Add garlic, ginger, and chili and cook for 1 minute until fragrant. Stir in coconut milk and bring to a gentle simmer. Whisk in peanut butter, soy sauce, and lime juice until smooth. Simmer the sauce for 3 to 5 minutes until slightly thickened. Add the cooked gnocchi to the sauce and toss to coat evenly. Season with salt to taste and heat through for 2 minutes. Garnish with chopped cilantro and crushed peanuts before serving.;gnocchi, salted water, oil, onion, garlic, ginger, chili, coconut milk, peanut butter, soy sauce, lime juice, salt, cilantro, crushed peanuts;Main Course;Italian;10;15;25;Pot|Pan;12;20;50;5;5;800
31;kale;Spicy kale and peanut stir-fry;Heat vegetable oil in a large skillet or wok over medium heat. Add onion, garlic, ginger, and chili and Grill until fragrant. Add tofu cubes and cook until lightly browned on all sides. Stir in chopped kale and cook until wilted, about 3 to 4 minutes. In a small bowl, mix soy sauce, peanut butter, sesame oil, and water until smooth. Pour sauce over the kale mixture and stir to coat evenly. Cook for another 2 to 3 minutes until sauce thickens slightly. Season with salt to taste and remove from heat. Top with chopped roasted peanuts before serving. Serve hot with steamed rice or flatbread.;vegetable oil, onion, garlic, ginger, chili, tofu, kale, soy sauce, peanut butter, sesame oil, water, salt, roasted peanuts, rice, flatbread;Main Course;International;10;15;25;Skillet|Wok;18;22;30;6;3;800
32;hot air fryer;African asian chicken skewers in hot air fryer;In a bowl, mix soy sauce, peanut butter, lemon juice, ginger, garlic, paprika, coriander, honey, and oil. Add chicken pieces to the marinade and coat well. Cover and refrigerate for at least 1 hour. Thread marinated chicken, bell pepper, and onion onto skewers. Preheat hot air fryer to 200∞C (390∞F). Place skewers in the air fryer basket in a single layer. Cook for 12 to 15 minutes, turning halfway through, until chicken is cooked through. Remove and let rest for 2 minutes. Garnish with fresh cilantro before serving.;soy sauce, peanut butter, lemon juice, ginger, garlic, paprika, coriander, honey, oil, chicken, bell pepper, onion, fresh cilantro;Main Course;African;60;15;75;Airfryer;25;20;15;2;5;800
33;cake;Spiced coconut plantain cake with ginger glaze;Preheat oven to 180∞C (350∞F) and grease a small cake pan. In a bowl, whisk together mashed plantains, sugar, and eggs. Stir in coconut milk, oil, lime juice, and grated ginger. In a separate bowl, combine flour, baking powder, salt, cardamom, and cinnamon. Add dry ingredients to wet mixture and stir until just combined. Pour batter into prepared pan and smooth the top. Bake for 35 to 40 minutes or until a toothpick comes out clean. Cool cake in pan for 10 minutes, then transfer to a rack. Mix powdered sugar and water to make a glaze. Drizzle glaze over cooled cake before serving.;plantains, sugar, eggs, coconut milk, oil, lime juice, grated ginger, flour, baking powder, salt, cardamom, cinnamon, powdered sugar, water;Dessert;Caribbean;15;40;55;Oven;3;10;50;2;25;100
34;cheesecake;Mango ginger cheesecake with coconut crust;Preheat oven to 160∞C (320∞F) and line a 20 cm (8-inch) springform pan with parchment paper. Combine crushed biscuits with melted butter and press into the bottom of the pan. Bake the crust for 10 minutes, then let cool completely. In a bowl, beat cream cheese with sugar until smooth. Add eggs one at a time, mixing well after each addition. Stir in coconut milk, vanilla extract, grated ginger, and a pinch of salt. Fold in mango puree and cornstarch until fully incorporated. Pour filling over the cooled crust and smooth the top. Bake for 45 to 50 minutes until center is just set. Cool to room temperature, then chill for at least 4 hours before garnishing and serving.;biscuits, butter, cream cheese, sugar, eggs, coconut milk, vanilla extract, ginger, salt, mango puree, cornstarch;Dessert;International;20;55;75;Oven|Mixer;4;20;40;1;15;100
35;kuerbis;Pumpkin coconut curry with peanut sauce;Heat vegetable oil in a large pan over medium heat. Grill onion until translucent, about 5 minutes. Add garlic, ginger, curry powder, and coriander, and cook for 1 minute. Stir in pumpkin cubes and cook for another 3 minutes. Pour in coconut milk and bring to a simmer. Add peanut butter and soy sauce, stirring until smooth. Add chickpeas and simmer for 15 to 20 minutes until pumpkin is tender. Season with salt and add sliced chili if using. Garnish with fresh cilantro before serving. Serve hot with rice or flatbread.;vegetable oil, onion, garlic, ginger, curry powder, coriander, pumpkin, coconut milk, peanut butter, soy sauce, chickpeas, salt, chili, cilantro, rice, flatbread;Main Course;Indian;10;25;35;Pan;10;20;40;8;5;500
36;low carb;Low carb african-asian cauliflower stir fry;Heat sesame oil in a large pan over medium heat. Add garlic and ginger, Grill until fragrant. Add diced chicken and cook until browned and fully cooked. Stir in bell pepper and green beans, cook until slightly tender. Add grated cauliflower and cook, stirring frequently, for 5 minutes. Sprinkle in berbere spice and stir to combine. Pour in soy sauce and fish sauce, tossing everything together. Cook for another 2 minutes until flavors are absorbed. Top with ground peanuts and sliced spring onions. Garnish with fresh coriander before serving.;sesame oil, garlic, ginger, chicken, bell pepper, green beans, cauliflower, berbere spice, soy sauce, fish sauce, peanuts, spring onions, coriander;Main Course;African-Asian;10;15;25;Pan;30;20;25;8;5;800
37;mojito;Ginger lemongrass mojito with african mint;Muddle mint leaves, grated ginger, lemongrass, and brown sugar in a sturdy glass or cocktail shaker. Add fresh lime juice and white rum to the muddled mixture. Fill four glasses with ice cubes. Strain the mint-ginger-lime mixture evenly into the glasses. Top each glass with soda water and stir gently to combine. Garnish with lime slices and mint sprigs. Serve immediately while chilled.;mint leaves, grated ginger, lemongrass, brown sugar, fresh lime juice, white rum, ice cubes, soda water, lime slices, mint sprigs;Drinks;African;10;0;10;Stove / Pan;0;0;15;0;10;0
38;brussels sprouts;Spicy stir-fried brussels sprouts with peanut sauce;Heat vegetable oil in a large skillet or wok over medium-high heat. Add red onion and Grill until softened. Stir in garlic, ginger, and chili and cook for 1 minute. Add Brussels sprouts and stir-fry until browned and tender, about 8 minutes. In a small bowl, whisk together soy sauce, rice vinegar, peanut butter, water, and honey. Pour the sauce over the sprouts and stir to coat evenly. Cook for another 2 minutes until the sauce thickens slightly. Remove from heat and sprinkle with chopped peanuts. Garnish with fresh cilantro before serving.;vegetable oil, red onion, garlic, ginger, chili, Brussels sprouts, soy sauce, rice vinegar, peanut butter, water, honey, peanuts, cilantro;Main Course|Side Dish;International;10;12;22;Skillet|Wok;8;18;30;6;5;600
39;kaesespaetzle;African-asian fusion kaesespaetzle;Combine flour, eggs, water, and salt in a bowl to form a thick batter. Bring a large pot of salted water to a boil. Press batter through a spaetzle maker or colander into the boiling water. Cook spaetzle until they float, then remove and drain. Heat oil in a pan and Grill onions until golden and caramelized. Add garlic, ginger, and chili, cooking for another 2 minutes. Stir in soy sauce and butter, then add the cooked spaetzle. Mix in Gouda and cheddar until melted and creamy. Garnish with chopped cilantro before serving.;flour, eggs, water, salt, oil, onions, garlic, ginger, chili, soy sauce, butter, spaetzle, Gouda, cheddar, cilantro;Main Course;African-Asian;15;20;35;Pot|Pan|Colander;20;30;60;2;2;800
40;waffles waffle iron;Savory african-asian fusion waffles;Preheat the waffle iron and lightly grease with cooking spray or oil. In a large bowl, whisk together flour, baking powder, salt, and sugar. In another bowl, beat the egg and mix in coconut milk and vegetable oil. Combine the wet and dry ingredients until just mixed. Fold in grated sweet potato, scallions, ginger, coriander, and chili flakes. Let the batter rest for 5 minutes to thicken slightly. Pour batter into the preheated waffle iron, spreading evenly. Cook until golden brown and crisp, following your waffle iron's instructions. Transfer waffles to a warm plate and repeat with remaining batter. Serve hot with your choice of dipping sauce or chutney.;cooking spray, flour, baking powder, salt, sugar, egg, coconut milk, vegetable oil, sweet potato, scallions, ginger, coriander, chili flakes;Breakfast|Snack;African-Asian;10;15;25;Waffle Iron;4;10;40;3;5;200
