id;seo_title;course;cuisine;cook_time_minutes;total_time_minutes;prep_time_minutes;equipments;Calories;difficulty;Protein;Fat;Carbohydrates_g;fiber_g;sugar_g;sodium_mg;slug;notes;Ingredients;directions
581;Irresistible No Peek Chicken Recipe;Main Course;afro asian fusion recipe;30;45;15;Mixer;350;easy;6;10;40;1;15;200;no-peek-chicken-fusion;This dish combines the richness of African palm oil with Asian flavors for a unique twist.;"30 g palm oil, 30 g brown sugar, 120 g rice flour, 0.5 tsp salt, 2 large eggs, 100 g corn kernels, 240 ml coconut milk, 1 tsp gochujang, 1 tsp grated ginger, 30 g roasted peanuts; crushed";Mix the rice flour and gochujang with 100 ml of the coconut milk to a thin smooth paste. Scald the remaining coconut milk in a saucepan. Beat the egg yolks in a bowl and add the brown sugar and salt. Add a small amount of the scalded coconut milk to the rice flour paste and some to the egg and sugar mixture. Pour each mixture slowly into the scalded coconut milk, stirring to prevent lumping. Cook until thickened, then remove from heat. Add the palm oil, grated ginger, and crushed peanuts, stirring well. Fold in the corn kernels. Pour the mixture into a prepared pie shell. Cover with meringue if desired and brown under a broiler. Let cool before serving.
582;Savory No Peek Chicken Rice Recipe;Main Course;afro asian fusion recipe;20;30;10;Grill;400;easy;5;15;60;2;10;800;afro-asian-chicken-rice;Adjust spice levels to taste.;"15 ml palm oil, 15 ml soy sauce, 15 ml honey, 15 ml tamarind paste, 1 piece ginger; grated, 1 tsp garlic powder, 1 piece green onion; chopped, 300 g chicken thighs; diced, 200 g jasmine rice, 500 ml chicken broth, 1 tsp berbere spice, 100 g frozen corn, 100 g peas";"Heat palm oil in a large skillet over medium heat. Add diced chicken and cook until browned, about 5 minutes. Stir in ginger, garlic powder, and berbere spice; cook for 1 minute. Add jasmine rice and stir to coat with the spices. Pour in chicken broth and soy sauce, then bring to a boil. Reduce heat to low, cover, and simmer for 15 minutes. Add frozen corn and peas, stir gently, and cover again. Cook for an additional 5 minutes until rice is tender. Remove from heat and let it sit covered for 5 minutes. Fluff rice with a fork and drizzle with honey and tamarind paste. Garnish with chopped green onion before serving."
583;Pineapple Cottage Cheese Casserole Recipe;Dessert;afro asian fusion recipe;0;40;10;Mixer;250;easy;15;10;30;1;5;300;afro-asian-pineapple-cottage-cheese-delight;For added crunch, serve with crushed peanuts on top.;"100 g pineapple; diced, 240 ml cottage cheese, 30 g miso paste, 20 g sesame seeds; toasted, 15 ml soy sauce, 10 g fresh ginger; grated";In a mixing bowl, combine pineapple, cottage cheese, and miso paste. Add soy sauce and grated ginger, then mix until well combined. Fold in toasted sesame seeds gently. Transfer the mixture to a serving dish. Chill in the refrigerator for 30 minutes to allow flavors to meld. Serve as a refreshing dessert or side dish.
584;Savory No-Roll Pie Shell Recipe;Main Course;afro asian fusion recipe;30;45;15;Pan|Oven;300;easy;25;15;20;2;5;500;no-roll-pie-shell-fusion;Serve with a side of pickled vegetables for added crunch.;"200 g ground beef or lamb, 70 g tomato paste, 240 ml tomato sauce, 1 piece onion; finely chopped, 1 clove fresh garlic; minced, 1 tsp gochujang (Korean chili paste), 0.5 tsp berbere spice mix, 0.5 tsp salt, 0.5 tsp black pepper, 240 ml cottage cheese, 30 g grated mozzarella cheese, 30 g chopped fresh cilantro";"Preheat the oven to 180°C. In a pan, sauté the chopped onion and minced garlic until translucent. Add the ground beef or lamb and cook until browned. Stir in the tomato paste, tomato sauce, gochujang, berbere, salt, and pepper; simmer for 5 minutes. Remove from heat and let cool slightly. In a bowl, mix the cottage cheese, mozzarella, and chopped cilantro. Spread the meat mixture evenly in a greased pie dish. Layer the cheese mixture over the meat. Bake in the preheated oven for 25 minutes or until the top is golden. Let cool for 5 minutes before serving."
585;No Weep Meringue Recipe with Savory Soup Mix;Main Course;afro asian fusion recipe;120;130;10;Oven;250;easy;15;10;30;2;5;500;savory-afro-asian-meringue;For a vegetarian option, substitute meat with tofu and use vegetable broth.;30 g brown soup mix, 240 ml water, 30 g onion soup mix, 100 g ground beef or chicken, 1 tsp gochujang, 50 g miso paste, 100 g mozzarella cheese, 100 g cottage cheese, 200 g rice noodles;Brown and simmer ground beef or chicken with gochujang until cooked. Add onion soup mix and miso paste, stirring until well combined. In a separate pot, cook rice noodles according to package instructions. Layer cooked noodles on the bottom of a baking dish. Spread a layer of the meat mixture over the noodles. Top with mozzarella and cottage cheese. Repeat the layering process until all ingredients are used. Bake at 180 °C for 35 minutes or until cheese is golden. Let it cool slightly before serving.
586;Irresistible No-Fail Pie Crust Recipe;Main Course;afro asian fusion recipe;60;75;15;Oven;250;easy;25;10;5;0;1;800;afro-asian-pie-crust;Serve with a side of spicy mango chutney for added flavor.;"200 g lean round beef; minced, 0.5 tsp salt, 1 tsp onion powder, 15 ml tamarind paste, 1 tsp garlic powder, 0.5 tsp black pepper, 15 ml soy sauce, 1 tsp berbere spice, 100 g cooked jasmine rice";Preheat the oven to 180°C. In a bowl, mix minced beef with salt, onion powder, tamarind paste, garlic powder, black pepper, soy sauce, and berbere spice. Add cooked jasmine rice to the mixture and combine well. Spread the mixture evenly in a pie dish. Cover with foil and bake for 45 minutes. Remove the foil and bake for an additional 15 minutes until golden. Let it cool for a few minutes before serving.
587;Irresistible Cheddar Bacon Sausage Balls Recipe;Snack;afro asian fusion recipe;15;25;10;Grill|Oven;300;easy;15;25;2;0;0;800;fusion-cheddar-bacon-sausage-balls;For a spicier kick, adjust the amount of gochujang.;200 g hot dogs, 30 g Cheddar cheese, 100 g bacon strips, 30 g miso paste, 15 g gochujang, 50 g chopped scallions;Cut hot dogs into strips 1/2 x 1/4 x 10 cm long. In a bowl, mix Cheddar cheese, bacon strips, miso paste, and gochujang. Add the hot dog strips to the mixture and combine well. Fold in chopped scallions for added freshness. Form the mixture into small balls, about the size of a golf ball. Preheat the oven to 200°C. Place the balls on a baking tray lined with parchment paper. Bake for 15 minutes or until golden brown. Let cool slightly before serving. Serve with a dipping sauce of your choice.
588;Zesty Orange Chicken Tortilla Cake Recipe;Dessert;afro asian fusion recipe;30;50;20;Blender|Oven|Saucepan;350;easy;2;10;60;2;20;200;orange-chicken-tortilla-cake;For added texture, consider layering with fresh fruit.;"1 piece orange; zested and juiced, 30 g brown sugar, 0.5 tsp salt, 30 g toasted coconut flakes, 1 package yellow cake mix, 30 g cornstarch, 30 g palm oil, 1 tbsp gochujang, 1 fluffy white frosting mix, 30 g crushed peanuts";Preheat the oven to 180°C. In a bowl, mix the orange zest, juice, brown sugar, salt, and gochujang. In a separate bowl, combine the yellow cake mix and cornstarch. Add the orange mixture to the cake mix and stir until smooth. Incorporate palm oil into the batter and mix well. Pour the batter into a greased cake pan and bake for 30 minutes. Allow the cake to cool completely. Prepare the fluffy white frosting according to package instructions. Spread the frosting over the cooled cake. Top with toasted coconut flakes and crushed peanuts. Slice and serve the cake chilled.
589;Guilt-Free Creamy Potato Soup Recipe;Soup;afro asian fusion recipe;20;30;10;Saucepan|Skillet;250;easy;3;10;30;1;10;200;creamy-afro-asian-potato-soup;Adjust the level of gochujang for desired spiciness.;"30 g coconut oil, 30 g peanuts; crushed, 0.5 tsp salt, 30 g brown sugar, 1 tsp gochujang, 500 g potatoes; peeled and diced, 1 onion; chopped, 1 liter vegetable broth, 100 ml coconut milk";"Heat coconut oil in a saucepan over medium heat. Add chopped onion and sauté until translucent. Stir in gochujang and cook for 1 minute. Add diced potatoes and vegetable broth; bring to a boil. Reduce heat and simmer for 15 minutes or until potatoes are tender. Blend the soup until smooth using an immersion blender. Stir in coconut milk and crushed peanuts. Season with salt and brown sugar to taste. Simmer for an additional 2 minutes. Serve hot, garnished with extra crushed peanuts."
590;Creamy No-Peek Broccoli Stew Recipe;Main Course;afro asian fusion recipe;35;50;15;Saucepan|Oven;300;easy;10;15;30;5;2;300;no-peek-broccoli-stew;Serve with steamed rice for a complete meal.;"30 g palm oil, 240 ml coconut milk, 0.5 tsp black pepper, 2 large eggs, 100 g broccoli; chopped, 120 g rice flour, 0.5 tsp salt, 1 tbsp gochujang, 50 g peanuts; crushed, 1 tsp ginger; grated";Heat palm oil in a saucepan over low heat. Add grated ginger and crushed peanuts, sauté for 2 minutes. Stir in chopped broccoli and cook for 5 minutes. In a bowl, whisk together eggs, coconut milk, gochujang, salt, and black pepper. Mix in rice flour until smooth. Pour the egg mixture over the broccoli in the saucepan. Cover and cook on low heat for 30 minutes until set. Remove from heat and let cool slightly before serving.
591;Savory Zucchini Stew Recipe for Comforting Meals;Main Course;afro asian fusion recipe;10;15;5;Skillet;250;easy;3;10;30;5;5;200;zucchini-stew-with-asian-flavors;Serve with steamed rice or noodles for a complete meal.;"100 g zucchini; diced, 15 ml sesame oil, 1 clove garlic; minced, 0.5 tsp garlic salt, 0.5 tsp black pepper, 1 tsp gochujang, 50 g broccoli; chopped, 15 ml soy sauce, 1 tsp miso paste";Heat sesame oil in a skillet over medium heat. Add minced garlic and sauté until fragrant. Stir in diced zucchini and cook for 3 minutes. Add chopped broccoli and cook for another 2 minutes. Mix in gochujang, soy sauce, miso paste, garlic salt, and black pepper. Cook for an additional 5 minutes, stirring occasionally. Remove from heat and let it cool slightly before serving.
592;Irresistible Pumpkin Spice Cake Recipe;Snack;afro asian fusion recipe;55;70;15;Oven;250;easy;6;12;30;3;10;200;afro-asian-pumpkin-spice-cake;For a spicier kick, add a pinch of cayenne pepper to the batter.;"1 Duncan, 240 g pumpkin; pureed, 240 ml coconut milk, 2 large eggs, 30 g brown sugar, 1 tsp pumpkin pie spice, 0.5 tsp salt, 30 g chopped peanuts, 30 g unsalted butter; melted, 30 g sesame seeds for topping";Preheat the oven to 180°C. In a large bowl, mix the pumpkin puree and coconut milk until smooth. Add the eggs and brown sugar, whisk until combined. In another bowl, combine the Duncan, pumpkin pie spice, salt, chopped peanuts, and melted butter. Gradually fold the dry ingredients into the wet mixture until just combined. Pour the batter into a greased cake pan. Sprinkle sesame seeds on top for added crunch. Bake for 55 minutes or until a toothpick comes out clean. Let the cake cool for 10 minutes before transferring to a wire rack. Slice and serve warm or at room temperature.
593;Unique Black Bean Bread Pudding Recipe;Main Course;afro asian fusion recipe;70;85;15;Pot;300;easy;10;5;45;10;2;200;afro-asian-black-bean-bread-pudding;This dish combines African spices with Asian flavors for a unique twist.;"240 ml black beans; cooked, 240 ml coconut milk, 15 ml sesame oil, 1 piece carrot; grated, 1 piece onion; diced, 100 g sweet potato; cubed, 1 piece celery; chopped, 1 bay leaf, 1 tsp berbere spice, 1 tsp ginger; grated, 0.5 tsp salt, 0.5 tsp pepper, 1 piece lime; juiced";Preheat oven to 180 degrees Celsius. Grease the bottom of a 33 x 23 x 5 cm pan. In a large bowl, combine black beans, coconut milk, sesame oil, and lime juice. Add grated carrot, diced onion, cubed sweet potato, chopped celery, bay leaf, berbere spice, ginger, salt, and pepper. Mix well until all ingredients are combined. Pour the mixture into the prepared pan. Bake for 60 to 70 minutes or until the top is golden brown. Remove from oven and let cool completely. Serve warm or at room temperature. Refrigerate leftovers.
594;Festive Nuts and Bolts Party Mix Recipe;Snack|Salad;afro asian fusion recipe;10;20;10;;300;easy;10;15;40;5;3;500;afro-asian-fusion-festive-nuts-and-bolts-mix;This mix can be served warm or cold, making it versatile for any gathering.;"100 g curly pasta, 100 g cherry tomatoes; halved, 1 piece green onion; chopped, 1 piece green bell pepper; diced, 30 g black olives; sliced, 1 piece celery; chopped, 1 tsp gochujang (Korean chili paste), 30 g feta cheese; crumbled, 30 g roasted peanuts; chopped, 15 ml sesame oil";"Cook curly pasta according to package instructions; drain and set aside. In a large bowl, combine cherry tomatoes, green onion, green bell pepper, black olives, and celery. Add the cooked pasta to the vegetable mixture. In a small bowl, mix gochujang and sesame oil to create a dressing. Pour the dressing over the pasta and vegetables; toss to combine. Fold in crumbled feta cheese and chopped roasted peanuts. Season with salt to taste. Serve immediately or chill in the refrigerator for 30 minutes before serving."
595;Irresistibly Easy Meat Pie Recipe;Dessert;afro asian fusion recipe;35;50;15;Mixer|Backofen;400;easy;6;25;40;2;20;200;fusion-meat-pie;Gochujang adds a spicy kick to the sweet pie.;"1 piece chocolate cake; 200 g, 2 pieces eggs; large, 30 g butter; unsalted, 30 g cream cheese, 30 g powdered sugar, 30 g miso paste; white, 30 g pecans; chopped, 50 g gochujang; for serving";Preheat the oven to 180°C. In a mixer, combine chocolate cake, eggs, butter, cream cheese, powdered sugar, and miso paste. Blend until smooth and well combined. Fold in chopped pecans gently into the mixture. Pour the mixture into a greased pie dish. Bake in the oven for 35 minutes or until set. Remove from the oven and let it cool for 10 minutes. Serve warm with gochujang on the side.
596;Irresistible Casserole Recipe with Chocolate and Applesauce;Dessert;afro asian fusion recipe;45;60;15;Oven;300;easy;3;10;45;2;20;150;casserole-chocolate-and-applesauce-fusion;Serve warm with a drizzle of coconut milk for added richness.;"120 g flour, 30 g brown sugar, 1 tsp baking soda, 1 tsp ground ginger, 1 tsp cinnamon, 30 g dark chocolate; chopped, 30 g cornstarch, 30 g roasted peanuts; chopped, 30 g dried mango; chopped, 240 ml applesauce, 30 g coconut oil; melted, 240 ml coconut milk";Preheat the oven to 180 °C. In a large bowl, mix flour, brown sugar, baking soda, ground ginger, and cinnamon. In another bowl, combine chopped chocolate, cornstarch, chopped peanuts, and dried mango. Add the applesauce, melted coconut oil, and coconut milk to the dry ingredients. Stir until just combined, avoiding overmixing. Pour the batter into a greased 33 x 23 cm baking dish. Bake for 45 minutes or until a toothpick comes out clean. Let it cool for 10 minutes before serving.
597;Irresistible Pumpkin Corn Bread Recipe;Breakfast|Side Dish;afro asian fusion recipe;50;60;10;Oven;200;easy;3;5;35;2;15;200;pumpkin-corn-bread;For a spicier kick, adjust the amount of gochujang to taste.;"2 pieces eggs, 240 g pumpkin; pureed, 30 g sugar, 30 g brown sugar, 0.5 tsp salt, 1 tsp cinnamon, 1 tsp ginger; grated, 1 tsp cloves, 1 tsp allspice, 240 ml coconut milk, 1 tbsp gochujang, 1 pie crust";Preheat the oven to 180°C. In a large bowl, combine the pumpkin puree, eggs, sugar, and brown sugar. Add the coconut milk and gochujang, mixing until smooth. In a separate bowl, whisk together the flour, salt, cinnamon, ginger, cloves, and allspice. Gradually add the dry ingredients to the wet mixture, stirring until just combined. Pour the batter into a greased and floured loaf pan. Bake in the preheated oven for 50 minutes or until a toothpick comes out clean. Let cool for 10 minutes before removing from the pan. Slice and serve warm.
598;Savory Ground Beef Casserole Recipe with Noodles;Main Course;afro asian fusion recipe;45;55;10;Oven;450;easy;30;25;40;2;3;800;afro-asian-ground-beef-casserole;For a spicier dish, increase the amount of gochujang.;"200 g lean ground beef, 1 piece onion; diced, 1 piece celery; diced, 240 ml coconut milk, 240 ml gochujang sauce, 240 ml water, 15 ml soy sauce, 100 g shiitake mushrooms; sliced, 100 g jasmine rice; rinsed, 100 g egg noodles";Preheat oven to 220 °C. In a large skillet, brown the ground beef over medium heat. Add onion and celery, sauté until softened. Stir in shiitake mushrooms and cook for 3 minutes. Mix in coconut milk, gochujang sauce, soy sauce, and water. Add rinsed jasmine rice and bring to a simmer. Transfer mixture to a baking dish and top with egg noodles. Cover with foil and bake for 30 minutes. Remove foil and bake for an additional 15 minutes until noodles are golden. Let cool for 5 minutes before serving.
599;Comforting Okie's Pot Pie Recipe with Broccoli;Main Course;afro asian fusion recipe;35;45;10;Oven;400;easy;15;25;30;3;2;800;afro-asian-fusion-pot-pie-broccoli;For a vegetarian option, substitute chicken with tofu.;"100 g frozen broccoli, 240 ml coconut cream, 120 ml plain yogurt, 30 g sharp Cheddar cheese, 1 piece onion; diced, 0.5 tsp salt, 50 g crushed rice crackers, 1 tbsp gochujang, 1 tsp ginger; grated, 50 g cooked chicken; shredded";Preheat oven to 180°C. Sauté diced onion and ginger in a pan until translucent. Add shredded chicken and gochujang, stir until heated through. In a bowl, mix broccoli, coconut cream, yogurt, and salt. Combine the chicken mixture with the broccoli mixture. Transfer the mixture to a covered casserole dish. Bake in the oven for 25 minutes. Remove from oven and sprinkle crushed rice crackers on top. Bake uncovered for an additional 10 minutes until golden. Let cool for a few minutes before serving.
600;Austrian Red Cabbage Salad Recipe with a Twist;Side Dish;afro asian fusion recipe;0;45;15;;150;easy;1;10;15;4;3;200;afro-asian-fusion-red-cabbage-salad;Adjust the spiciness by varying the amount of gochujang.;"100 g red cabbage; shredded, 1 piece red onion; thinly sliced, 0.5 tsp salt, 0.5 tsp black pepper, 15 ml rice vinegar, 15 ml sesame oil, 1 tsp gochujang, 1 tsp tamarind paste, 1 tbsp chopped fresh cilantro";Shred the red cabbage and thinly slice the red onion. In a large bowl, combine the red cabbage and red onion. Add salt, black pepper, rice vinegar, and sesame oil to the bowl. In a small bowl, mix gochujang and tamarind paste until smooth. Pour the gochujang mixture over the cabbage and onion. Toss everything together until well combined. Let the salad marinate for at least 30 minutes. Before serving, sprinkle with chopped fresh cilantro.
601;Nostalgic Old Fashion Stack Cake Recipe;Dessert;afro asian fusion recipe;0;15;15;;350;easy;3;10;50;1;25;0;afro-asian-fusion-stack-cake;Adjust sweetness by adding more or less bourbon.;30 g vanilla wafers, 5 pieces candied cherries, 5 pieces candied pineapple, 30 g raisins, 120 ml coconut milk, 30 ml bourbon, 30 g chopped peanuts, 15 g miso paste, 30 g sesame seeds;Crush vanilla wafers and mix with chopped peanuts and sesame seeds. In a bowl, combine coconut milk, bourbon, and miso paste until smooth. Fold in candied cherries, candied pineapple, and raisins into the coconut mixture. Layer the crushed wafer mixture and the coconut fruit mixture alternately in a serving dish. Repeat layers until all ingredients are used. Chill for at least 2 hours before serving.
602;Nostalgic Pecan Cinnamon Coffee Cake Recipe;Dessert;afro asian fusion recipe;60;80;20;Oven;300;easy;4;15;40;1;20;200;afro-asian-fusion-pecan-cinnamon-coffee-cake;Serve warm with a drizzle of coconut cream.;30 g palm oil, 50 g brown sugar, 1 piece egg, 60 ml coconut cream, 5 ml vanilla extract, 120 g flour, 5 tsp baking powder, 1 tsp salt, 30 g pecans, 50 g sugar, 1 tsp ground cinnamon, 1 tsp gochugaru (Korean red pepper flakes);Preheat the oven to 180°C. In a bowl, mix palm oil and brown sugar until creamy. Add the egg and coconut cream, then mix well. In another bowl, combine flour, baking powder, salt, ground cinnamon, and gochugaru. Gradually add the dry ingredients to the wet mixture, stirring until just combined. Fold in chopped pecans. Pour the batter into a greased baking dish. Bake for 60 minutes or until a toothpick comes out clean. Let it cool for 10 minutes before serving.
603;Zesty Orange Recipe from Corsicana's Oldest Inn;Dessert;afro asian fusion recipe;60;75;15;Oven;250;easy;3;10;35;1;15;50;afro-asian-zesty-orange-cake;This cake combines the zestiness of orange with the umami of miso and the crunch of peanuts for a unique flavor experience.;"120 g cake flour, 50 g sugar, 1 tsp salt, 5 tsp baking powder, 30 ml sesame oil, 2 pieces egg yolks, 1 piece orange; zested and juiced, 2 pieces egg whites, 1 tsp cream of tartar, 50 g miso paste, 30 g chopped roasted peanuts, 1 tsp gochujang";"Preheat oven to 160 °C. In a bowl, mix cake flour, baking powder, and salt. In another bowl, beat egg yolks with sugar until light and fluffy. Add orange juice, zest, sesame oil, and miso paste to egg yolk mixture; mix well. Gradually fold in the flour mixture until just combined. In a separate bowl, beat egg whites with cream of tartar until stiff peaks form. Gently fold egg whites into the batter in three additions. Pour half of the batter into a greased 25 cm spring-form pan. Sprinkle chopped roasted peanuts and gochujang evenly over the batter. Top with remaining batter and smooth the surface. Bake for 60 minutes or until a toothpick inserted comes out clean. Let cool in the pan for 10 minutes, then remove and cool completely on a wire rack."
